pl_name,hostname,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2
HD 192310 c,HD 192310,Radial Velocity,2011,0,525.8,9.2,-9.2,0,5.25,,,0,8.79687,0.00925,-0.00924
HD 192699 b,HD 192699,Radial Velocity,2007,0,340.94,0.92,-0.92,0,13.4,,,0,71.8627,0.2667,-0.2667
HD 194490 b,HD 194490,Radial Velocity,2022,0,13092.18348,3494.64637,-2509.99734,0,12.4,,,0,80.2349,0.2496,-0.248
HD 195019 b,HD 195019,Radial Velocity,1998,0,18.20132,0.00039,-0.00039,0,13,,,0,37.6681,0.0669,-0.0667
HD 196050 b,HD 196050,Radial Velocity,2002,0,1392,4,-4,0,12.9,,,0,50.6742,0.1021,-0.1017
HD 196067 b,HD 196067,Radial Velocity,2012,0,3413.7,10.5,-10.5,0,12.4,,,0,39.9346,0.046,-0.046
HD 196067 c,HD 196067,Radial Velocity,2025,0,4.601088,0.000192,-0.000192,0,3.21,,,0,39.9346,0.046,-0.046
HD 19615 b,HD 19615,Radial Velocity,2022,0,402,2,-2,0,12.6,,,0,265.155,1.823,-1.799
HD 196885 A b,HD 196885 A,Radial Velocity,2007,0,1333,15,-15,0,13.2,,,0,34.1692,0.0573,-0.057
HD 197037 b,HD 197037,Radial Velocity,2012,0,1035.7,13,-13,0,13.9,,,0,33.1944,0.0291,-0.0291
HD 199509 b,HD 199509,Radial Velocity,2022,0,99.62167,0.14198,-0.0943,0,7.43,,,0,24.3056,0.0204,-0.0204
HD 19994 b,HD 19994,Radial Velocity,2003,0,466.2,1.7,-1.7,0,13.6,,,0,22.5242,0.1042,-0.1033
HD 20003 b,HD 20003,Radial Velocity,2019,0,11.8482,0.0016,-0.0017,0,3.43,,,0,41.8316,0.0499,-0.0498
HD 20003 c,HD 20003,Radial Velocity,2019,0,33.9239,0.0239,-0.0266,0,3.89,,,0,41.8316,0.0499,-0.0498
HD 200964 b,HD 200964,Radial Velocity,2010,0,606.3,3.8,-3.8,0,13.5,,,0,72.5922,0.24155,-0.24155
HD 200964 c,HD 200964,Radial Velocity,2010,0,852.5,7.1,-7.1,0,13.7,,,0,72.5922,0.24155,-0.24155
HD 202206 c,HD 202206,Radial Velocity,2004,0,1260,11,-11,0,12.2,,,0,45.9665,0.1391,-0.1383
